,Unnamed: 0,id,created_at,username,location,following,followers,retweetcount,text,azure_polar,azure_class,blob_polar,blob_subj
1363,1363,1496540219163746314,2022-02-23 17:39:27+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,hina98hina Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeqJavedIqbalReal Defense785 skylimiter,0.03,neutral,0.7,0.75
1365,1365,1496540162834243594,2022-02-23 17:39:13+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,PTIofficial syedalizia1992 ImranKhanPTI Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeqJavedIqbalReal Defense785 skylimiter,0.02,neutral,0.7,0.75
1366,1366,1496540107771424770,2022-02-23 17:39:00+00:00,subusviews,"Manhattan, NY",12,8,1,World Trade Center Jesus Christ is the master of all things even our very names The ancient meanings of the names of the 911victims Behold the living word IngrahamAngle TomiLahren seanhannity PressSec POTUS RussiaUN KremlinRussiaE americastrong UkraineRussia,0.01,neutral,0.05,0.2
1369,1369,1496539987860504583,2022-02-23 17:38:32+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,InsafPK Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeqJavedIqbalReal Defense785 skylimiter,0.03,neutral,0.7,0.75
1372,1372,1496539830930583555,2022-02-23 17:37:54+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,PSFAERO Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeqJavedIqbalReal Defense785 skylimiter,0.05,neutral,0.7,0.75
1373,1373,1496539675309268993,2022-02-23 17:37:17+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,javedhassan Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeqJavedIqbalReal Defense785 skylimiter,0.05,neutral,0.7,0.75
1375,1375,1496539510720675847,2022-02-23 17:36:38+00:00,RubberDuck2000,,17,2,0,KremlinRussiaE ukraine NATOinUkraine GeneralStaffUA UkraineRussia defender of the fatherland Better call it occupation day of sovereign countries,0.15,neutral,0.5,0.5
1379,1379,1496539385264812037,2022-02-23 17:36:08+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,Independent Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeqJavedIqbalReal Defense785 skylimiter,0.04,neutral,0.4666666666666666,0.5416666666666666
1381,1381,1496539240703930370,2022-02-23 17:35:33+00:00,WorldImperative,,113,150,0,DickMorrisTweet Results of Bidens threats6 Biden will stammer over his script AddresstotheNation feigning success as his Ukraine disaster tumbles the US abroad millions pour across the border inflation skyrockets Identity Marxism divides the USUkraineRussia,-0.58,negative,0.3,0.0
1382,1382,1496539239168761864,2022-02-23 17:35:33+00:00,WorldImperative,,113,150,0,DickMorrisTweet Results of Bidens threats5 Sanctions are a hasbeen vengeful strategy that if they have any effect hurt ordinary people Sanctions are employed by inept leaders devoid of leadership skillsUkraineRussia,-1.0,negative,-0.175,0.35
1383,1383,1496539237759565834,2022-02-23 17:35:33+00:00,WorldImperative,,113,150,0,DickMorrisTweet Results of Bidens threats4 Bidens strongarming Europe to align w his threats ag Russia will create havoc in European energy markets increasing consumer energy costs and prolong tensions from potential NATO expansion to the Russian borderUkraineRussia,-0.15,neutral,0.0,0.3333333333333333
1384,1384,1496539236211867652,2022-02-23 17:35:32+00:00,WorldImperative,,113,150,0,DickMorrisTweet Results of Bidens threats3 US sanctions together w the RussiaChina Alliance will risk the dominance of the US as the energy currency and disintegrate US as the world reserve currencyUkraineRussia,-0.61,negative,0.0,0.0
1385,1385,1496539234836135937,2022-02-23 17:35:32+00:00,WorldImperative,,113,150,0,DickMorrisTweet Results of Bidens threats2 Russia and China were pushed into establishing a new firm alliance the RussiaChina Alliance In one stroke this has ended US geopolitical world dominanceUkraineRussia,-0.62,negative,-0.03181818181818183,0.42727272727272725
1386,1386,1496539234164957184,2022-02-23 17:35:32+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,FaridMalikPK InsafPK Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeqJavedIqbalReal Defense785 skylimiter,0.02,neutral,0.7,0.75
1387,1387,1496539233208647681,2022-02-23 17:35:32+00:00,WorldImperative,,113,150,0,DickMorrisTweet Results of Bidens threats1 Putin recognized the independence of Donatsk amp Luhansk resulting in their ability to choose their own alliances No invasion The people in those republics celebratedUkraineRussia,-0.18000000000000002,neutral,0.6,1.0
1388,1388,1496539231812046857,2022-02-23 17:35:31+00:00,WorldImperative,,113,150,0,DickMorrisTweet Bidens threats ag Putin had nothing to do w Russia invading Ukraine That scenario was in Bidens head for reasons beyond this thread The dangerous escalation amp disruption of Bidens threats resulted in extremely significant resultsUkraineRussia,-1.0,negative,-0.11249999999999999,0.8875
1389,1389,1496539230381789184,2022-02-23 17:35:31+00:00,WorldImperative,,113,150,0,DickMorrisTweet The republics of Russian populated Donatsk amp Luhansk in the Donbas were granted independent status under the Minsk Agreement Ukrainian officials aided by interfering US did not honor the terms of that agr Civil war skirmishes continued UkraineRussia,-0.92,negative,0.0,0.0625
1390,1390,1496539228876189697,2022-02-23 17:35:31+00:00,WorldImperative,,113,150,0,DickMorrisTweet Under Putin Russia took over administration of Crimea The accession of Crimea to Russia is an example of the right to selfdetermination The referendum w 93 turnout resulted in 97 support for joining RussiaUkraineRussia,0.10999999999999999,neutral,0.2857142857142857,0.5357142857142857
1391,1391,1496539226351058945,2022-02-23 17:35:30+00:00,WorldImperative,,113,150,0,DickMorrisTweet Also recall that the USSR collapsed in 1991 The change in Russia since that date economically commercially and socially incl individual freedoms predominantly under the leadership of Putin have been nothing short of remarkableUkraineRussia,-0.87,negative,0.008333333333333333,0.19166666666666665
1392,1392,1496539224618803204,2022-02-23 17:35:30+00:00,WorldImperative,,113,150,0,DickMorrisTweet You might want to recall HillaryClinton amp her expansionist regimechange destruction in Libya expanding civil war resulting in one of the largest slavetrade markets today amp the worst crisis in Europe since WW2UkraineRussia,-1.0,negative,-1.0,1.0
1393,1393,1496539223083651073,2022-02-23 17:35:29+00:00,WorldImperative,,113,150,0,DickMorrisTweet One would have thought you of all people would have the wisdom to understand that solutions come from assessing situations today NOW not from yesterday Please tell us which countries in Europe Russia carries out a slave trade todayUkraineRussia,-0.6000000000000001,negative,0.0,0.0
1394,1394,1496539220906852356,2022-02-23 17:35:29+00:00,WorldImperative,,113,150,0,Shame on DickMorrisTweet for your utter rubbish about Russia today stating it is a fight for freedom against slavery not Russia against Ukraine UkraineRussia,-1.0,negative,0.0,1.0
1396,1396,1496539151658889217,2022-02-23 17:35:12+00:00,GerhardKempICL,"Nottingham, England",515,634,0,Compare and contrast statements by Kenya amp South Africa re UkraineRussia,0.0,neutral,0.0,0.0
1397,1397,1496539128749563908,2022-02-23 17:35:07+00:00,Mashud_abiola,Ghana,706,616,2,Putin invades Eastern UkrainePutin UkraineRussiaCrisis UkraineRussia,-0.86,negative,0.0,0.0
1401,1401,1496538985388253189,2022-02-23 17:34:33+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,ForumStrategic Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeqJavedIqbalReal Defense785 skylimiter,0.07,neutral,0.7,0.75
1404,1404,1496538749437726724,2022-02-23 17:33:36+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,MichaelKugelman Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeqJavedIqbalReal Defense785 skylimiter,0.04,neutral,0.7,0.75
1411,1411,1496538126126391302,2022-02-23 17:31:08+00:00,causeribbons4u,"Chicago, IL",2136,985,0,Is it still a witch hunt or hoax when the former President calls Putin a genius and savvy TrumpRussia UkraineRussia,-1.0,negative,0.0,0.0
1413,1413,1496537971234856961,2022-02-23 17:30:31+00:00,SciRocker,USA,12912,16288,1,Putin launches cyberattack against Ukraines government and parliamentTerrorists Putin UkraineRussia,-0.01,neutral,0.0,0.0
1415,1415,1496537949369946125,2022-02-23 17:30:26+00:00,patrick2001wil1,"Chicago, IL",1883,365,3,BREAKING The Security Service of Ukraine SSU released an audio recording purporting to be from a conversation between LDPR activistsUkeaine UkraineRussiaCrisis Ukraina UkraineRussia UkraineWar Ukrainian Russia RussiaUkraineConflict RussiaUkraineCrisis LPR DPR,-0.88,negative,0.0,0.0
1416,1416,1496537943380566017,2022-02-23 17:30:24+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,syedalizia1992 ImranKhanPTI Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeq,0.03,neutral,0.7,0.75
1418,1418,1496537899176800267,2022-02-23 17:30:14+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,SHABAZGIL Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeq,0.07,neutral,0.7,0.75
1422,1422,1496537646100844546,2022-02-23 17:29:13+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,PTIOfficialSwat InsafPK Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeq,0.03,neutral,0.7,0.75
1423,1423,1496537643672567808,2022-02-23 17:29:13+00:00,Chugi00549225,,0,0,0,UkraineRussia How much Power is enough How much Land is enough How much Wealth is enough PUT IN some thought,0.9099999999999999,positive,0.10000000000000002,0.3499999999999999
1430,1430,1496537350507311108,2022-02-23 17:28:03+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,PTIofficial ImranKhanPTI Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 syedalizia1992 MahamGillani91 JavedIqbalReal Defense785 faider,0.04,neutral,0.7,0.75
1434,1434,1496537218663522305,2022-02-23 17:27:31+00:00,Badass4Mothers,,4864,2855,0,The appeasement state of mind must be blasted out of the places of power or the fascists will win the battles of the future Freda Kirchwey 1941UkraineRussia StandWithUkraine GOPBetrayedAmerica GOPTraitors TraitorsToDemocracy PutinsPuppet,-0.99,negative,0.0666666666666667,0.47500000000000003
1441,1441,1496536915901927427,2022-02-23 17:26:19+00:00,EarlyRetiredGuy,"Cambridge, England",9,27,0,UkraineRussiaCrisis UkraineRussia UkraineRussiaConflict It seems that Putin has been planning this for some time including anticipating likely responses from the global community Give him something entirely unpredictable to chew on,-0.99,negative,-0.05555555555555555,0.6666666666666666
1449,1449,1496536828819787787,2022-02-23 17:25:58+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,Landed Moscow given a warm welcome May Allah Bless him with courage to weather the storm Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia RomeoCharlie29 faider syedalizia1992 MahamGillani91 MaheenShafeeq JavedIqbalReal Defense785 skylimiter,0.06,neutral,0.7,0.75
1455,1455,1496536715799969795,2022-02-23 17:25:32+00:00,subusviews,"Manhattan, NY",12,8,1,While everybody was worried about Mrs Butterworth and uncle Bens and every other stupid thing you can think of the same people were not worried about the safety of our country UkraineCrisis UkraineInvasion ukrainerussia Ukrainian IngrahamAngle seanhannity DanaPerino,-1.0,negative,-0.3083333333333333,0.5
1456,1456,1496536703036796937,2022-02-23 17:25:28+00:00,subusviews,"Manhattan, NY",12,8,1,Vladimir Putin saw the catastrophe in Afghanistan and realized how dumb and weak The Joe Biden administration is and thats why Putin is coming for Ukraine Putin is exploiting Joe Bidens weaknessUkraine UkraineCrisis Ukraina ukrainerussia IngrahamAngle TomiLahren,-1.0,negative,-0.375,0.5625
1460,1460,1496536521498890245,2022-02-23 17:24:45+00:00,OneVenusThrow,Manna-hata,4853,3341,1,ICYMI 12 Jan 2022 GuardianRussias belief in NATO betrayal and why it matters todayThe idea that the SovietUnion was tricked in 198990 is at the heart of Russias confrontation with the westpatrickwintour UkraineRussia Ukraine Putin,-0.99,negative,0.0,0.0
1468,1468,1496535907498958849,2022-02-23 17:22:19+00:00,spiritje78,Twente,238,331,0,Russians UkraineRussia Ukrainians europe america China Turkey Taiwan TibetIsNotChina qatar i believe Russians love their children too markrutte responsabilitaindividuale doYOURpart PrayForPeace solidarity wedoenhetsamen Peaceful grow,0.57,positive,0.375,0.55
1472,1472,1496535757233823746,2022-02-23 17:21:43+00:00,AnIdiotKing,,3131,1082,1,Well done to BBCNews for finding the one pundit who will tell your audience that sanctions on oligarchs dont matter thus excusing the UKs inactionUkraineRussia JohnsonOut30,0.09000000000000002,positive,0.0,0.0
1477,1477,1496535405742764038,2022-02-23 17:20:19+00:00,KaradaKamil,,36103,39295,2,The Main Rivalry RussiaUcraina RussiaUkraineConflict RussiaUkraineCrisis Russie Russian UkraineRussiaCrisis Ukraina UkraineRussie UkraineCrisis UkraineRussia Ukrain USA Putin PutinsWar Biden NATO,-0.95,negative,0.08333333333333333,0.16666666666666666
1478,1478,1496535398117429255,2022-02-23 17:20:17+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,MansoorHayatLak InsafPK The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.07999999999999999,neutral,0.7,0.6000000000000001
1482,1482,1496535368044269569,2022-02-23 17:20:10+00:00,The5HbK,Everywhere,1315,480,0,BREAKING Another big cyber attack on UkraineUkraineRussiaCrisis Ukraine Russia UkraineRussia UkraineConflict UkraineWar,-1.0,negative,0.0,0.1
1483,1483,1496535343197265924,2022-02-23 17:20:04+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,DuaBhuttoPTI The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.35,neutral,0.7,0.6000000000000001
1486,1486,1496535286024654848,2022-02-23 17:19:51+00:00,G_Voskopoulos,Grèce,256,1202,0,Flashpoint UkraineThe Pivot of geography in Command of the Wests Eastern Gatewaygeopolitics geopolitica geopolitique UkraineRussiaCrisis UkraineCrisis UkraineConflict UkraineRussiaConflict ukrainerussia RussiaUkraineCrisis Russie NATORussia,-0.69,negative,0.0,0.0
1496,1496,1496534694426517524,2022-02-23 17:17:30+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,BOLNETWORK The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.27,neutral,0.7,0.6000000000000001
1497,1497,1496534626470354952,2022-02-23 17:17:13+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,talhaahmad967 The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.26,neutral,0.7,0.6000000000000001
1499,1499,1496534377043570690,2022-02-23 17:16:14+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,PTIofficial The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.27,neutral,0.7,0.6000000000000001
1500,1500,1496534277063905293,2022-02-23 17:15:50+00:00,PolCaliKid,,300,35,0,KremlinRussiaE you are like a little psycho girls that really wants that doll Grow The F up You are not making yourself look strong going after the weak Sad man PrUkr Putin UkraineCrisis RussiaUkraineCrisis PutinSpeech russianinvasion SanctionRussia UkraineRussia,-0.9299999999999999,negative,-0.08583333333333334,0.5916666666666666
1505,1505,1496534075074621445,2022-02-23 17:15:02+00:00,schachin,,11952,17577,0,This is excellent Down and dirty to help with understanding what is happening with Russia Ukraine NATO and the US UkraineRussie UkraineRussiaCrisis UkraineRussia Ukraine Putin Ukraina cc IAmPoliticsGirl,0.36,positive,0.08148148148148149,0.6962962962962963
1506,1506,1496534070691573763,2022-02-23 17:15:01+00:00,ChiworesoChido,"Harare, Zimbabwe",4510,3342,0,My views on UkraineRussia crises Register to vote,-0.94,negative,0.0,0.0
1513,1513,1496533775467130887,2022-02-23 17:13:50+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,developingpak The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.27,neutral,0.7,0.6000000000000001
1515,1515,1496533733519810561,2022-02-23 17:13:40+00:00,G_Voskopoulos,Grèce,256,1202,0,Speak directlyPutin has tense exchange with his chief spygtA crash testProof that no one dares express their doubtsUkraineRussiaCrisis UkraineRussie Ukraina UkraineCrisis UkraineRussia RussiaUkraineCrisis RussiaUcraina RussiaUkraineConflict,-0.99,negative,-0.3333333333333333,0.5
1516,1516,1496533635746476036,2022-02-23 17:13:17+00:00,RedBanditsRU,,0,30,0,I wonder who is logging the DDoS attacks What you doing UkraineGovernment UkraineRussiaCrisis UkraineCrisis UkraineRussia You see our DDoS haha nicelogs,-0.99,negative,0.2,0.3
1519,1519,1496533493270167555,2022-02-23 17:12:43+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,MinhasNajma The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.36,neutral,0.7,0.6000000000000001
1520,1520,1496533445803188230,2022-02-23 17:12:32+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,JavedIqbalReal ImranKhanPTI The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.16,neutral,0.7,0.6000000000000001
1526,1526,1496533021876539393,2022-02-23 17:10:51+00:00,Dirk_Matter,"First Hill, Seattle",680,381,0,We can recognize Slovenia and Macedonia but not Novorossia or Donetsk It is different One is supported by NATO another by Russians Dont you see the differenceDonbass Ukraine UkraineRussia,-0.38999999999999996,negative,0.0,0.6
1540,1540,1496532503804489731,2022-02-23 17:08:47+00:00,capedpersuader,"Tennessee, USA",2288,911,0,Americas glorious purpose isnt to be a tolerable evil to stave off greater threats or to hunker down let the world tear itself apart amp hope our defenses hold when the front eventually gets to usUkraineRussiaCrisisUkraineCrisis UkraineRussia,-0.8200000000000001,negative,-0.21851851851851853,0.5962962962962963
1542,1542,1496532396166025227,2022-02-23 17:08:22+00:00,Military_VA,United States,140,196,0,As we stated 4 days ago this is what we are seeing in Ukraine today UkraineRussiaCrisis UkraineCrisis UkraineRussia,-1.0,negative,0.0,0.0
1545,1545,1496532277723111431,2022-02-23 17:07:53+00:00,Maya29854628,,1314,2410,1,zerohedge The Russian ruble down 70 from the 2008 highs Russian ukrainerussia,-0.05,neutral,-0.051851851851851864,0.09629629629629631
1551,1551,1496531963171287041,2022-02-23 17:06:38+00:00,CreoleTranslate,,1464,25,0,Illia Ponomarenko a Ukrainian journalist published the post quoted below Translated to Haitian Creole to allow Haitians to follow the UkraineCrisis in their native language UkraineRussiaCrisis UkraineRussia RussiaUkraineCrisis HaitianTranslator,-0.98,negative,0.0,0.0
1557,1557,1496531750142771201,2022-02-23 17:05:48+00:00,mofowear,California,944,2602,0,Im only Trusting Tulsi and TuckerCarlson on dis UkraineRussia thang And FJB,0.41999999999999993,positive,0.0,1.0
1565,1565,1496531305252548609,2022-02-23 17:04:02+00:00,briflynews,India,44,330,0,Indian students in Ukraine requested the Indian government to bring down the cost of evacuation flightsukraine russia ussr russiaborder india ukraine ukrainegrams ukraine russiaukraine ukrainerussia army war indiastudents students,-0.84,negative,-0.15555555555555559,0.2888888888888889
1581,1581,1496530660663693318,2022-02-23 17:01:28+00:00,fox5ny,New York,508,130217,0,Watch TheNoon for latest on former NYPD union president EdMullins expected to surrender UkraineRussia crisis subway safety weather more CLICK,-0.64,negative,0.225,0.45
1588,1588,1496530507382861825,2022-02-23 17:00:51+00:00,loiskeller,"studio city, California",3657,2820,0,And here we are famous last words in 2019 from the smart dedicated professional Dr Fiona Hill UkraineRussia,0.27,neutral,0.20357142857142857,0.45238095238095244
1600,1600,1496530151462555653,2022-02-23 16:59:26+00:00,Jersmoke,"Hamilton, Ontario Canada",2274,2363,0,Oh those Russians UkraineRussia,-0.10999999999999999,neutral,0.0,0.0
1603,1603,1496530112266878989,2022-02-23 16:59:17+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,ForumStrategic The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.28,neutral,0.7,0.6000000000000001
1607,1607,1496530010382995470,2022-02-23 16:58:53+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,DuraniIftikhar InsafPK The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,-0.03,neutral,0.7,0.6000000000000001
1612,1612,1496529920654299139,2022-02-23 16:58:31+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,p4pakipower The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.28,neutral,0.7,0.6000000000000001
1614,1614,1496529860419895309,2022-02-23 16:58:17+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,SAMAATV Abbasshabbir72 The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.25,neutral,0.7,0.6000000000000001
1615,1615,1496529709919784963,2022-02-23 16:57:41+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,PTVNewsOfficial The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.2,neutral,0.7,0.6000000000000001
1617,1617,1496529644253847568,2022-02-23 16:57:26+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,PTVNewsOfficial ImranKhanPTI The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.11,neutral,0.7,0.6000000000000001
1621,1621,1496529486623678467,2022-02-23 16:56:48+00:00,jknewstoday,"Jammu, Jammu And Kashmir",278,6752,0,Why ImranKhan offered a Live TV debate to PM narendramodi Watch In Perspective with Arun Joshi ajoshi57 PMOIndia HMOIndia AmitShah MEAIndia diprjk OfficeOfLGJandK ImranKhanModiShow UkraineRussia UkraineRussiaConflict Nato EuropeanUnion,-0.06,neutral,0.13636363636363635,0.5
1628,1628,1496529217407930376,2022-02-23 16:55:44+00:00,DanNermsle,,11,10,0,Biden is UNITING with NATO in an effort AGAINST Russia Why does anyone believe Trump could have prevented an invasion RussiaUkraineCrisis GOP Republican UkraineRussiaCrisis UkraineRussia Joe House GOP Should Bow Head In Shame Over Biden Tweet,-0.98,negative,0.0,0.0
1630,1630,1496529094695174151,2022-02-23 16:55:14+00:00,mideastsoccer,,1106,3573,0,Ukraine Its the new world order stupid RussiaUkraineCrisis RussiaUcraina RussiaUkraineConflict Russian russianinvasion russiaukrainewar Russland Russland UkraineRussiaCrisis UkraineRussie UkraineCrisis Ukraina UkraineInvasion UkraineRussia,-0.61,negative,-0.2212121212121212,0.48484848484848486
1631,1631,1496529091708735491,2022-02-23 16:55:14+00:00,Twit_er808,United States of Clown School,1083,370,0,10 for the Big GuyJoeBiden BidensAmerica UkraineRussiaCrisis UkraineRussia,-0.78,negative,0.0,0.1
1633,1633,1496529002483392517,2022-02-23 16:54:53+00:00,ShannonMackay9,"BC, Canada ",3521,973,2,Putin is annexing Donetsk and Luhansk right now Sanction him and his inner circle UkraineRussia Donbass Lugansk StandWithUkraineJustinTrudeau cafreeland AnitaAnandMP YvanBaker HarjitSajjan,0.0,neutral,0.14285714285714285,0.35119047619047616
1634,1634,1496528994082201603,2022-02-23 16:54:51+00:00,joefredericks,Western COLORADO ,1363,426,0,God have Mercy on him Comfort and Peace to his Family and Friends IStandWithUkraine UkraineRussia,0.73,positive,0.0,0.0
1648,1648,1496528575750623236,2022-02-23 16:53:11+00:00,kuzemska2,,1002,292,0,What do the EuropeanCommission EUAA UNHCR say about are the potential arrival of Refugees due to potential further escalation of UkraineRussia warLargely silent,-1.0,negative,-0.025,0.595
1655,1655,1496528320938315781,2022-02-23 16:52:10+00:00,haque_shamsi,"Islamabad, Pakistan",374,494,0,SHABAZGIL The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.27,neutral,0.7,0.6000000000000001
1659,1659,1496528202264719364,2022-02-23 16:51:42+00:00,twilly18,can only use 30 characters!!!!,267,196,0,Ukraine UkraineRussiaCrisis ukrainerussia UkraineConflict UkraineWar Did the world get uptight about the invasion of Syria,-1.0,negative,0.0,0.0
1662,1662,1496528128587583498,2022-02-23 16:51:24+00:00,TattedFaceJoey,"Dublin, Ireland",1772,434,0,Wait wait wait Are Chicken Kievs now called Chicken Kyivs now RussiaUkraineConflict Russia UkraineRussiaCrisis UkraineRussia,-0.84,negative,-0.6,0.95
